spp,sw_hw,poolID,decayRate_litReview,decayRate_Hararuk,decayRate_CBM,q10_Hararuk,q10_CBM
ABIE.BAL,sw,1,,0.345,0.355,2.415,2.65
ABIE.BAL,sw,2,,0.349,0.5,2.031,2
ABIE.BAL,sw,3,,0.225,0.144,1.154,2
ABIE.BAL,sw,4,,0.23,0.144,2.029,2
ABIE.BAL,sw,5,0.024,0.064,0.037,1.534,2
ABIE.BAL,sw,6,0.022,0.022,0.015,2.14,2.65
ABIE.BAL,sw,7,0.004,0.004,0.003,1.231,1
ABIE.BAL,sw,8,0.0274,0.014,0.019,2.06,2
ABIE.BAL,sw,9,,0.047,0.072,2.309,2
ABIE.BAL,sw,10,,0.01,0.01,2,2
ACER.RUB,hw,1,,0.345,0.355,2.415,2.65
ACER.RUB,hw,2,,0.349,0.5,2.031,2
ACER.RUB,hw,3,,0.225,0.144,1.154,2
ACER.RUB,hw,4,,0.23,0.144,2.029,2
ACER.RUB,hw,5,0.095,0.064,0.037,1.534,2
ACER.RUB,hw,6,0.022,0.022,0.015,2.14,2.65
ACER.RUB,hw,7,0.004,0.004,0.003,1.231,1
ACER.RUB,hw,8,0.08,0.054,0.019,1.83,2
ACER.RUB,hw,9,,0.073,0.072,2.004,2
ACER.RUB,hw,10,,0.01,0.01,2,2
ACER.SAH,hw,1,0.5,0.345,0.355,2.415,2.65
ACER.SAH,hw,2,,0.349,0.5,2.031,2
ACER.SAH,hw,3,0.305,0.225,0.144,1.154,2
ACER.SAH,hw,4,,0.23,0.144,2.029,2
ACER.SAH,hw,5,0.054,0.064,0.037,1.534,2
ACER.SAH,hw,6,0.022,0.022,0.015,2.14,2.65
ACER.SAH,hw,7,0.004,0.004,0.003,1.231,1
ACER.SAH,hw,8,0.014,0.054,0.019,1.83,2
ACER.SAH,hw,9,,0.073,0.072,2.004,2
ACER.SAH,hw,10,,0.01,0.01,2,2
BETU.ALL,hw,1,0.58,0.345,0.355,2.415,2.65
BETU.ALL,hw,2,,0.349,0.5,2.031,2
BETU.ALL,hw,3,,0.225,0.144,1.154,2
BETU.ALL,hw,4,,0.23,0.144,2.029,2
BETU.ALL,hw,5,0.055,0.064,0.037,1.534,2
BETU.ALL,hw,6,0.022,0.022,0.015,2.14,2.65
BETU.ALL,hw,7,0.004,0.004,0.003,1.231,1
BETU.ALL,hw,8,0.014,0.054,0.019,1.83,2
BETU.ALL,hw,9,,0.073,0.072,2.004,2
BETU.ALL,hw,10,,0.01,0.01,2,2
BETU.PAP,hw,1,,0.345,0.355,2.415,2.65
BETU.PAP,hw,2,,0.349,0.5,2.031,2
BETU.PAP,hw,3,,0.225,0.144,1.154,2
BETU.PAP,hw,4,,0.23,0.144,2.029,2
BETU.PAP,hw,5,0.049,0.064,0.037,1.534,2
BETU.PAP,hw,6,0.022,0.022,0.015,2.14,2.65
BETU.PAP,hw,7,0.004,0.004,0.003,1.231,1
BETU.PAP,hw,8,0.014,0.054,0.019,1.83,2
BETU.PAP,hw,9,,0.073,0.072,2.004,2
BETU.PAP,hw,10,,0.01,0.01,2,2
FAGU.GRA,hw,1,0.32,0.345,0.355,2.415,2.65
FAGU.GRA,hw,2,,0.349,0.5,2.031,2
FAGU.GRA,hw,3,,0.225,0.144,1.154,2
FAGU.GRA,hw,4,,0.23,0.144,2.029,2
FAGU.GRA,hw,5,0.076,0.064,0.037,1.534,2
FAGU.GRA,hw,6,0.022,0.022,0.015,2.14,2.65
FAGU.GRA,hw,7,0.004,0.004,0.003,1.231,1
FAGU.GRA,hw,8,0.014,0.054,0.019,1.83,2
FAGU.GRA,hw,9,,0.073,0.072,2.004,2
FAGU.GRA,hw,10,,0.01,0.01,2,2
LARI.LAR,sw,1,,0.345,0.355,2.415,2.65
LARI.LAR,sw,2,,0.349,0.5,2.031,2
LARI.LAR,sw,3,,0.225,0.144,1.154,2
LARI.LAR,sw,4,,0.23,0.144,2.029,2
LARI.LAR,sw,5,0.043,0.064,0.037,1.534,2
LARI.LAR,sw,6,0.022,0.022,0.015,2.14,2.65
LARI.LAR,sw,7,0.004,0.004,0.003,1.231,1
LARI.LAR,sw,8,0.0274,0.014,0.019,2.06,2
LARI.LAR,sw,9,,0.047,0.072,2.309,2
LARI.LAR,sw,10,,0.01,0.01,2,2
PICE.GLA,sw,1,,0.345,0.355,2.415,2.65
PICE.GLA,sw,2,,0.349,0.5,2.031,2
PICE.GLA,sw,3,,0.225,0.144,1.154,2
PICE.GLA,sw,4,,0.23,0.144,2.029,2
PICE.GLA,sw,5,0.041,0.064,0.037,1.534,2
PICE.GLA,sw,6,0.022,0.022,0.015,2.14,2.65
PICE.GLA,sw,7,0.004,0.004,0.003,1.231,1
PICE.GLA,sw,8,0.0274,0.014,0.019,2.06,2
PICE.GLA,sw,9,,0.047,0.072,2.309,2
PICE.GLA,sw,10,,0.01,0.01,2,2
PICE.MAR,sw,1,,0.345,0.355,2.415,2.65
PICE.MAR,sw,2,,0.349,0.5,2.031,2
PICE.MAR,sw,3,,0.225,0.144,1.154,2
PICE.MAR,sw,4,,0.23,0.144,2.029,2
PICE.MAR,sw,5,0.015,0.064,0.037,1.534,2
PICE.MAR,sw,6,0.022,0.022,0.015,2.14,2.65
PICE.MAR,sw,7,0.004,0.004,0.003,1.231,1
PICE.MAR,sw,8,0.0274,0.014,0.019,2.06,2
PICE.MAR,sw,9,,0.047,0.072,2.309,2
PICE.MAR,sw,10,,0.01,0.01,2,2
PICE.RUB,sw,1,,0.345,0.355,2.415,2.65
PICE.RUB,sw,2,,0.349,0.5,2.031,2
PICE.RUB,sw,3,,0.225,0.144,1.154,2
PICE.RUB,sw,4,,0.23,0.144,2.029,2
PICE.RUB,sw,5,0.025,0.064,0.037,1.534,2
PICE.RUB,sw,6,0.022,0.022,0.015,2.14,2.65
PICE.RUB,sw,7,0.004,0.004,0.003,1.231,1
PICE.RUB,sw,8,0.0274,0.014,0.019,2.06,2
PICE.RUB,sw,9,,0.047,0.072,2.309,2
PICE.RUB,sw,10,,0.01,0.01,2,2
PINU.BAN,sw,1,,0.345,0.355,2.415,2.65
PINU.BAN,sw,2,,0.349,0.5,2.031,2
PINU.BAN,sw,3,,0.225,0.144,1.154,2
PINU.BAN,sw,4,,0.23,0.144,2.029,2
PINU.BAN,sw,5,0.031,0.064,0.037,1.534,2
PINU.BAN,sw,6,0.022,0.022,0.015,2.14,2.65
PINU.BAN,sw,7,0.004,0.004,0.003,1.231,1
PINU.BAN,sw,8,0.042,0.014,0.019,2.06,2
PINU.BAN,sw,9,,0.047,0.072,2.309,2
PINU.BAN,sw,10,,0.01,0.01,2,2
PINU.RES,sw,1,,0.345,0.355,2.415,2.65
PINU.RES,sw,2,,0.349,0.5,2.031,2
PINU.RES,sw,3,,0.225,0.144,1.154,2
PINU.RES,sw,4,,0.23,0.144,2.029,2
PINU.RES,sw,5,0.023,0.064,0.037,1.534,2
PINU.RES,sw,6,0.022,0.022,0.015,2.14,2.65
PINU.RES,sw,7,0.004,0.004,0.003,1.231,1
PINU.RES,sw,8,0.055,0.014,0.019,2.06,2
PINU.RES,sw,9,,0.047,0.072,2.309,2
PINU.RES,sw,10,,0.01,0.01,2,2
PINU.STR,sw,1,,0.345,0.355,2.415,2.65
PINU.STR,sw,2,,0.349,0.5,2.031,2
PINU.STR,sw,3,,0.225,0.144,1.154,2
PINU.STR,sw,4,,0.23,0.144,2.029,2
PINU.STR,sw,5,0.024,0.064,0.037,1.534,2
PINU.STR,sw,6,0.022,0.022,0.015,2.14,2.65
PINU.STR,sw,7,0.004,0.004,0.003,1.231,1
PINU.STR,sw,8,0.0274,0.014,0.019,2.06,2
PINU.STR,sw,9,,0.047,0.072,2.309,2
PINU.STR,sw,10,,0.01,0.01,2,2
POPU.TRE,hw,1,,0.345,0.355,2.415,2.65
POPU.TRE,hw,2,,0.349,0.5,2.031,2
POPU.TRE,hw,3,,0.225,0.144,1.154,2
POPU.TRE,hw,4,,0.23,0.144,2.029,2
POPU.TRE,hw,5,0.064,0.064,0.037,1.534,2
POPU.TRE,hw,6,0.022,0.022,0.015,2.14,2.65
POPU.TRE,hw,7,0.004,0.004,0.003,1.231,1
POPU.TRE,hw,8,0.08,0.054,0.019,1.83,2
POPU.TRE,hw,9,,0.073,0.072,2.004,2
POPU.TRE,hw,10,,0.01,0.01,2,2
QUER.RUB,hw,1,,0.345,0.355,2.415,2.65
QUER.RUB,hw,2,2.31,0.349,0.5,2.031,2
QUER.RUB,hw,3,0.215,0.225,0.144,1.154,2
QUER.RUB,hw,4,,0.23,0.144,2.029,2
QUER.RUB,hw,5,0.056,0.064,0.037,1.534,2
QUER.RUB,hw,6,0.022,0.022,0.015,2.14,2.65
QUER.RUB,hw,7,0.004,0.004,0.003,1.231,1
QUER.RUB,hw,8,0.014,0.054,0.019,1.83,2
QUER.RUB,hw,9,,0.073,0.072,2.004,2
QUER.RUB,hw,10,,0.01,0.01,2,2
THUJ.SPP.ALL,sw,1,,0.345,0.355,2.415,2.65
THUJ.SPP.ALL,sw,2,,0.349,0.5,2.031,2
THUJ.SPP.ALL,sw,3,,0.225,0.144,1.154,2
THUJ.SPP.ALL,sw,4,,0.23,0.144,2.029,2
THUJ.SPP.ALL,sw,5,0.026,0.064,0.037,1.534,2
THUJ.SPP.ALL,sw,6,0.022,0.022,0.015,2.14,2.65
THUJ.SPP.ALL,sw,7,0.004,0.004,0.003,1.231,1
THUJ.SPP.ALL,sw,8,0.0274,0.014,0.019,2.06,2
THUJ.SPP.ALL,sw,9,,0.047,0.072,2.309,2
THUJ.SPP.ALL,sw,10,,0.01,0.01,2,2
TSUG.CAN,sw,1,,0.345,0.355,2.415,2.65
TSUG.CAN,sw,2,,0.349,0.5,2.031,2
TSUG.CAN,sw,3,0.155,0.225,0.144,1.154,2
TSUG.CAN,sw,4,,0.23,0.144,2.029,2
TSUG.CAN,sw,5,0.031,0.064,0.037,1.534,2
TSUG.CAN,sw,6,0.022,0.022,0.015,2.14,2.65
TSUG.CAN,sw,7,0.004,0.004,0.003,1.231,1
TSUG.CAN,sw,8,0.04,0.014,0.019,2.06,2
TSUG.CAN,sw,9,,0.047,0.072,2.309,2
TSUG.CAN,sw,10,,0.01,0.01,2,2
